,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
0,10855767.0,Schaerbeek,1030,APARTMENT,APARTMENT,259000.0,,2.0,90.0,1.0,0.0,1.0,3.0,0.0,,2.0,False,GOOD
1,11011190.0,Diegem,1831,APARTMENT,APARTMENT,324000.0,,3.0,115.0,1.0,0.0,1.0,8.0,0.0,,2.0,False,GOOD
2,11011184.0,Uccle,1180,APARTMENT,APARTMENT,285000.0,,2.0,70.0,1.0,0.0,1.0,7.0,0.0,,2.0,False,GOOD
3,11011183.0,Drogenbos,1620,APARTMENT,APARTMENT,285000.0,,2.0,70.0,1.0,0.0,1.0,7.0,0.0,,2.0,False,GOOD
4,11011176.0,Roeselare,8800,APARTMENT,APARTMENT,225000.0,,2.0,102.0,0.0,0.0,0.0,10.0,0.0,,,False,JUST_RENOVATED
5,11011170.0,Liège,4020,APARTMENT,APARTMENT,139000.0,,1.0,60.0,1.0,0.0,1.0,0.0,0.0,,2.0,False,
6,11011169.0,Liège,4020,APARTMENT,APARTMENT,129000.0,,1.0,60.0,0.0,0.0,1.0,0.0,0.0,,4.0,False,TO_BE_DONE_UP
7,11011167.0,WOLUWÉ-SAINT-LAMBERT,1200,APARTMENT,APARTMENT,265000.0,,1.0,68.0,1.0,0.0,1.0,0.0,0.0,,2.0,False,JUST_RENOVATED
8,10865490.0,De Panne,8660,APARTMENT,GROUND_FLOOR,350000.0,,2.0,76.0,1.0,1.0,0.0,20.0,60.0,,,False,GOOD
9,11011159.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,189000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
10,11011158.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,189000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
11,11011157.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,195000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
12,11011156.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,175000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
13,11011155.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,175000.0,,1.0,62.0,1.0,0.0,0.0,0.0,0.0,,,False,
14,11011154.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,195000.0,,1.0,62.0,1.0,0.0,0.0,0.0,0.0,,,False,
15,11011153.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,85.0,1.0,0.0,0.0,0.0,0.0,,,False,
16,11011152.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,85.0,1.0,0.0,0.0,0.0,0.0,,,False,
