,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
0,11031959.0,Houffalize,6660,APARTMENT,APARTMENT,220000.0,,3.0,130.0,0.0,0.0,0.0,0.0,0.0,,2.0,False,
1,11031958.0,Houffalize,6660,APARTMENT,APARTMENT,220000.0,,3.0,130.0,0.0,0.0,0.0,0.0,0.0,,2.0,False,
2,11031954.0,BRUXELLES,1000,APARTMENT,DUPLEX,290000.0,,2.0,100.0,,0.0,1.0,0.0,0.0,,,False,TO_RESTORE
3,11031952.0,Liège,4000,APARTMENT,APARTMENT,170000.0,NotarySale,2.0,70.0,,0.0,0.0,0.0,0.0,,2.0,False,GOOD
4,11031951.0,St-Kruis,8310,APARTMENT,GROUND_FLOOR,310000.0,,3.0,95.0,1.0,0.0,0.0,25.0,55.0,,3.0,False,JUST_RENOVATED
5,11031943.0,Wenduine,8420,APARTMENT,APARTMENT,138000.0,,2.0,48.0,,0.0,0.0,0.0,0.0,,,False,TO_RESTORE
6,11031930.0,Evere,1140,APARTMENT,APARTMENT,199000.0,,2.0,,0.0,0.0,0.0,12.0,0.0,,,False,TO_RESTORE
7,11031926.0,Lier,2500,APARTMENT,APARTMENT,229000.0,,2.0,88.0,1.0,0.0,1.0,3.0,0.0,,2.0,False,GOOD
8,11031922.0,Saint-Josse-ten-Noode,1210,APARTMENT,APARTMENT,235000.0,,1.0,,0.0,0.0,0.0,0.0,8.0,,2.0,False,TO_BE_DONE_UP
9,11031918.0,Woluwe-St-Lambert,1200,APARTMENT,APARTMENT,515000.0,,2.0,115.0,1.0,0.0,0.0,16.0,0.0,,3.0,False,AS_NEW
10,11031904.0,SINT-NIKLAAS,9100,APARTMENT,APARTMENT,290000.0,,2.0,224.0,,0.0,1.0,0.0,0.0,,,False,TO_RENOVATE
11,11031897.0,Vlezenbeek,1602,APARTMENT,APARTMENT,199000.0,,1.0,60.0,,0.0,1.0,,0.0,,2.0,False,
12,11031894.0,Anderlecht-Ring West,1070,APARTMENT,APARTMENT,199000.0,,1.0,60.0,,0.0,1.0,,0.0,,2.0,False,
13,11031892.0,Evere,1140,APARTMENT,APARTMENT,285000.0,,1.0,60.0,1.0,0.0,1.0,2.0,0.0,,3.0,False,GOOD
14,11031890.0,Schaerbeek,1030,APARTMENT,FLAT_STUDIO,160000.0,,0.0,40.0,1.0,1.0,1.0,2.0,0.0,,2.0,False,GOOD
15,11031870.0,Blankenberge,8370,APARTMENT,APARTMENT,179000.0,,3.0,131.0,,0.0,0.0,,0.0,,,False,TO_BE_DONE_UP
16,11031868.0,Tournai,7500,APARTMENT,APARTMENT,165000.0,,1.0,75.0,,0.0,1.0,0.0,0.0,,,False,JUST_RENOVATED
17,11031860.0,Knokke,8300,APARTMENT,APARTMENT,895000.0,,3.0,110.0,0.0,0.0,0.0,0.0,0.0,,2.0,False,GOOD
18,11031858.0,De Panne,8660,APARTMENT,APARTMENT,339000.0,,2.0,76.0,,0.0,0.0,,0.0,,,False,GOOD
19,11031842.0,Halle,1500,APARTMENT,APARTMENT,169000.0,,2.0,88.0,,0.0,1.0,0.0,0.0,,,False,
20,11031833.0,Oud-Turnhout (Oud-Turnhout),2360,APARTMENT,APARTMENT,175000.0,,2.0,95.0,,0.0,0.0,,0.0,,2.0,False,
21,11031824.0,Brasschaat,2930,APARTMENT,DUPLEX,695000.0,,3.0,220.0,1.0,0.0,1.0,,0.0,,2.0,False,GOOD
22,11031823.0,Brasschaat,2930,APARTMENT,SERVICE_FLAT,325000.0,UnderOption,2.0,80.0,1.0,0.0,1.0,,0.0,,2.0,False,AS_NEW
23,10901519.0,Schoten,2900,APARTMENT,APARTMENT,344000.0,,3.0,115.0,1.0,0.0,1.0,45.0,0.0,,3.0,False,GOOD
24,11031815.0,Amay,4540,APARTMENT,APARTMENT,179000.0,,2.0,96.0,1.0,0.0,1.0,0.0,0.0,,,False,GOOD
25,11031787.0,Aalst,9300,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
26,11031786.0,Aalst,9300,APARTMENT,APARTMENT,655000.0,NewlyBuilt,2.0,135.0,1.0,0.0,1.0,109.0,0.0,,2.0,False,
27,11031785.0,Aalst,9300,APARTMENT,APARTMENT,349000.0,NewlyBuilt,2.0,108.0,1.0,0.0,1.0,7.0,25.0,,3.0,False,
28,11031784.0,Aalst,9300,APARTMENT,APARTMENT,349000.0,NewlyBuilt,2.0,108.0,1.0,0.0,1.0,7.0,25.0,,3.0,False,
29,11031747.0,GOOREIND,2990,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
30,11031959.0,Houffalize,6660,APARTMENT,APARTMENT,220000.0,,3.0,130.0,0.0,0.0,0.0,0.0,0.0,,2.0,False,
31,11031958.0,Houffalize,6660,APARTMENT,APARTMENT,220000.0,,3.0,130.0,0.0,0.0,0.0,0.0,0.0,,2.0,False,
32,11031954.0,BRUXELLES,1000,APARTMENT,DUPLEX,290000.0,,2.0,100.0,,0.0,1.0,0.0,0.0,,,False,TO_RESTORE
33,11031951.0,St-Kruis,8310,APARTMENT,GROUND_FLOOR,310000.0,,3.0,95.0,1.0,0.0,0.0,25.0,55.0,,3.0,False,JUST_RENOVATED
34,11031950.0,Moorslede,8890,HOUSE,HOUSE,129000.0,,3.0,,,0.0,0.0,0.0,0.0,495.0,3.0,False,TO_RENOVATE
35,11031946.0,Waasmunster,9250,HOUSE,HOUSE,815000.0,,3.0,307.0,1.0,0.0,0.0,22.0,0.0,2202.0,4.0,False,
36,11031945.0,Braine-le-Château,1440,HOUSE,HOUSE,375000.0,,3.0,172.0,0.0,0.0,0.0,,0.0,220.0,2.0,False,
37,11031944.0,houffalize,6660,HOUSE,HOUSE,150000.0,,6.0,208.0,0.0,0.0,0.0,,0.0,212.0,2.0,False,
