,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
0,11011135.0,Aalst,9300,HOUSE,HOUSE,169000.0,,3.0,72.0,0.0,0.0,0.0,14.0,0.0,40.0,2.0,False,
1,11011134.0,Blankenberge,8370,HOUSE,HOUSE,225000.0,,7.0,185.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,False,
2,11011133.0,Anderlecht,1070,HOUSE,VILLA,1050000.0,,0.0,300.0,,0.0,0.0,0.0,0.0,1334.0,4.0,False,
3,11011126.0,Anderlecht,1070,HOUSE,HOUSE,405000.0,,2.0,205.0,0.0,0.0,0.0,9.0,122.0,200.0,2.0,False,TO_RENOVATE
4,10843385.0,Mouscron,7700,HOUSE,HOUSE,99000.0,,3.0,101.0,1.0,0.0,1.0,0.0,0.0,75.0,2.0,False,TO_RENOVATE
5,11011124.0,Walcourt,5651,HOUSE,VILLA,250000.0,,4.0,,,0.0,0.0,0.0,0.0,2000.0,4.0,False,GOOD
6,11011123.0,Grez-Doiceau,1390,HOUSE,HOUSE,425000.0,,4.0,146.0,1.0,0.0,1.0,35.0,0.0,26.0,2.0,False,
7,11011118.0,Ouffet,4590,HOUSE,HOUSE,319500.0,NewlyBuilt,3.0,180.0,,0.0,0.0,,0.0,948.0,4.0,False,AS_NEW
8,11011116.0,Galmaarden,1570,HOUSE,HOUSE,475000.0,,3.0,150.0,1.0,0.0,0.0,0.0,0.0,585.0,3.0,False,AS_NEW
9,10983971.0,Cuesmes,7033,HOUSE,HOUSE,119000.0,,2.0,140.0,1.0,0.0,0.0,,0.0,0.0,,False,TO_BE_DONE_UP
10,11011101.0,Binche,7130,HOUSE,HOUSE,60000.0,,2.0,,1.0,0.0,1.0,0.0,0.0,48.0,2.0,False,TO_RENOVATE
11,11011098.0,Melle,9090,HOUSE,HOUSE,349000.0,,2.0,141.0,0.0,0.0,0.0,0.0,0.0,204.0,3.0,False,
12,11011093.0,Seraing Ougrée ,4102,HOUSE,HOUSE,159000.0,,3.0,,1.0,0.0,0.0,0.0,30.0,0.0,2.0,False,AS_NEW
13,11011089.0,Nazareth,9810,HOUSE_GROUP,HOUSE_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
14,11011086.0,Eeklo,9900,HOUSE,APARTMENT_BLOCK,590000.0,,0.0,,,0.0,0.0,1.0,0.0,124.0,,False,
15,11011080.0,WICHELEN,9260,HOUSE_GROUP,HOUSE_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
16,11011078.0,AALST,9300,HOUSE,HOUSE,225000.0,,2.0,85.0,,0.0,0.0,,0.0,100.0,,False,
17,10739599.0,Galmaarden,1570,HOUSE,HOUSE,489000.0,NewlyBuilt,3.0,206.0,1.0,0.0,0.0,0.0,,580.0,3.0,False,AS_NEW
18,11011074.0,Anderlecht,1070,HOUSE,APARTMENT_BLOCK,475000.0,,5.0,250.0,1.0,0.0,1.0,0.0,0.0,102.0,2.0,False,GOOD
19,11011073.0,Beauvechain,1320,HOUSE,MANSION,375000.0,,4.0,160.0,1.0,0.0,1.0,0.0,,1610.0,4.0,False,TO_RENOVATE
20,11011070.0,Merksem,2170,HOUSE,HOUSE,299000.0,,2.0,163.0,1.0,0.0,1.0,0.0,105.0,187.0,2.0,False,GOOD
21,11011065.0,Kontich,2550,HOUSE,MIXED_USE_BUILDING,995000.0,,5.0,619.0,1.0,0.0,1.0,60.0,0.0,0.0,4.0,False,GOOD
22,11011063.0,Torhout,8820,HOUSE,VILLA,342995.0,,3.0,,,0.0,0.0,,0.0,1800.0,4.0,False,
23,11011062.0,Torhout,8820,HOUSE,HOUSE,342995.0,,3.0,,,0.0,0.0,,0.0,1800.0,4.0,False,
24,10740173.0,Galmaarden,1570,HOUSE,HOUSE,489000.0,NewlyBuilt,3.0,202.0,1.0,0.0,0.0,0.0,255.0,585.0,3.0,False,AS_NEW
25,10735335.0,Galmaarden,1570,HOUSE,VILLA,499000.0,NewlyBuilt,4.0,161.0,1.0,0.0,0.0,,,585.0,3.0,False,AS_NEW
26,10739117.0,Galmaarden,1570,HOUSE,HOUSE,499000.0,NewlyBuilt,4.0,210.0,1.0,0.0,0.0,0.0,,575.0,3.0,False,AS_NEW
27,10995583.0,Montegnée,4420,HOUSE,HOUSE,290000.0,,4.0,176.0,1.0,0.0,1.0,,0.0,446.0,3.0,False,
28,11011060.0,Ronse,9600,HOUSE,HOUSE,210000.0,NotarySale,2.0,,1.0,0.0,0.0,,0.0,206.0,2.0,False,
29,11011059.0,Anderlecht,1070,HOUSE,HOUSE,155000.0,PublicSale,4.0,,1.0,0.0,0.0,0.0,0.0,102.0,,False,
30,10978505.0,Libramont-Chevigny,6800,HOUSE,VILLA,550000.0,,4.0,238.0,1.0,0.0,0.0,200.0,500.0,1196.0,4.0,True,AS_NEW
31,11011160.0,Bilzen,3740,HOUSE,HOUSE,425000.0,,3.0,278.0,1.0,0.0,0.0,0.0,0.0,267.0,,False,
32,11011159.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,189000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
33,11011158.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,189000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
34,11011157.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,195000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
35,11011156.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,175000.0,,1.0,50.0,1.0,0.0,0.0,0.0,0.0,,,False,
36,11011155.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,175000.0,,1.0,62.0,1.0,0.0,0.0,0.0,0.0,,,False,
37,11011154.0,Lanaken,3620,APARTMENT,GROUND_FLOOR,195000.0,,1.0,62.0,1.0,0.0,0.0,0.0,0.0,,,False,
38,11011153.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,85.0,1.0,0.0,0.0,0.0,0.0,,,False,
39,11011152.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,85.0,1.0,0.0,0.0,0.0,0.0,,,False,
40,11011151.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,90.0,1.0,0.0,0.0,0.0,0.0,,,False,
41,11011150.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,90.0,1.0,0.0,0.0,0.0,0.0,,,False,
42,11011149.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,90.0,1.0,0.0,0.0,0.0,0.0,,,False,
43,11011148.0,Diepenbeek,3590,APARTMENT,APARTMENT,195000.0,,2.0,90.0,1.0,0.0,0.0,0.0,0.0,,,False,
44,11011147.0,Bilzen,3740,HOUSE,HOUSE,449000.0,,3.0,206.0,1.0,0.0,0.0,0.0,0.0,422.0,,False,
45,11011146.0,Bilzen,3740,HOUSE,HOUSE,319000.0,,3.0,197.0,1.0,0.0,0.0,0.0,0.0,546.0,,False,
46,11011145.0,Hoeselt,3730,HOUSE,HOUSE,399000.0,,4.0,160.0,1.0,0.0,0.0,0.0,0.0,357.0,,False,GOOD
47,11011144.0,Heusden-Zolder,3550,HOUSE,HOUSE,475000.0,,4.0,203.0,1.0,0.0,0.0,0.0,0.0,1313.0,,False,
48,11011143.0,Bilzen,3740,APARTMENT,PENTHOUSE,299000.0,,2.0,100.0,1.0,0.0,0.0,0.0,0.0,,,False,
49,11011142.0,Harelbeke,8530,APARTMENT,APARTMENT,120000.0,,1.0,,1.0,0.0,1.0,0.0,0.0,,2.0,False,GOOD
50,11011141.0,Bilzen,3740,HOUSE,APARTMENT_BLOCK,459000.0,,3.0,154.0,1.0,0.0,0.0,0.0,0.0,560.0,,False,
51,11011135.0,Aalst,9300,HOUSE,HOUSE,169000.0,,3.0,72.0,0.0,0.0,0.0,14.0,0.0,40.0,2.0,False,
52,11011134.0,Blankenberge,8370,HOUSE,HOUSE,225000.0,,7.0,185.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,False,
53,11011133.0,Anderlecht,1070,HOUSE,VILLA,1050000.0,,0.0,300.0,,0.0,0.0,0.0,0.0,1334.0,4.0,False,
54,10843385.0,Mouscron,7700,HOUSE,HOUSE,99000.0,,3.0,101.0,1.0,0.0,1.0,0.0,0.0,75.0,2.0,False,TO_RENOVATE
55,11011125.0,De Haan,8420,APARTMENT,APARTMENT,325000.0,,3.0,155.0,,0.0,1.0,,0.0,,,False,GOOD
56,11011123.0,Grez-Doiceau,1390,HOUSE,HOUSE,425000.0,,4.0,146.0,1.0,0.0,1.0,35.0,0.0,26.0,2.0,False,
57,11011121.0,Grez-Doiceau,1390,APARTMENT,TRIPLEX,425000.0,,4.0,146.0,1.0,0.0,1.0,35.0,0.0,,2.0,False,
58,11011118.0,Ouffet,4590,HOUSE,HOUSE,319500.0,NewlyBuilt,3.0,180.0,,0.0,0.0,,0.0,948.0,4.0,False,AS_NEW
59,11011116.0,Galmaarden,1570,HOUSE,HOUSE,475000.0,,3.0,150.0,1.0,0.0,0.0,0.0,0.0,585.0,3.0,False,AS_NEW
60,11011070.0,Merksem,2170,HOUSE,HOUSE,299000.0,,2.0,163.0,1.0,0.0,1.0,0.0,105.0,187.0,2.0,False,GOOD
61,11011065.0,Kontich,2550,HOUSE,MIXED_USE_BUILDING,995000.0,,5.0,619.0,1.0,0.0,1.0,60.0,0.0,0.0,4.0,False,GOOD
62,11011063.0,Torhout,8820,HOUSE,VILLA,342995.0,,3.0,,,0.0,0.0,,0.0,1800.0,4.0,False,
63,11011062.0,Torhout,8820,HOUSE,HOUSE,342995.0,,3.0,,,0.0,0.0,,0.0,1800.0,4.0,False,
64,10740173.0,Galmaarden,1570,HOUSE,HOUSE,489000.0,NewlyBuilt,3.0,202.0,1.0,0.0,0.0,0.0,255.0,585.0,3.0,False,AS_NEW
65,10735335.0,Galmaarden,1570,HOUSE,VILLA,499000.0,NewlyBuilt,4.0,161.0,1.0,0.0,0.0,,,585.0,3.0,False,AS_NEW
66,10739117.0,Galmaarden,1570,HOUSE,HOUSE,499000.0,NewlyBuilt,4.0,210.0,1.0,0.0,0.0,0.0,,575.0,3.0,False,AS_NEW
67,10995583.0,Montegnée,4420,HOUSE,HOUSE,290000.0,,4.0,176.0,1.0,0.0,1.0,,0.0,446.0,3.0,False,
68,11011060.0,Ronse,9600,HOUSE,HOUSE,210000.0,NotarySale,2.0,,1.0,0.0,0.0,,0.0,206.0,2.0,False,
69,11011059.0,Anderlecht,1070,HOUSE,HOUSE,155000.0,PublicSale,4.0,,1.0,0.0,0.0,0.0,0.0,102.0,,False,
70,11011058.0,Mouscron,7700,HOUSE,HOUSE,239000.0,NotarySale,3.0,130.0,1.0,0.0,0.0,,,340.0,2.0,False,AS_NEW
71,11011057.0,Jumet,6040,HOUSE,HOUSE,120000.0,NotarySale,1.0,,,0.0,0.0,0.0,0.0,0.0,,False,
72,11011050.0,Dendermonde,9200,HOUSE,HOUSE,324900.0,,3.0,128.0,1.0,0.0,1.0,45.0,147.0,317.0,2.0,False,GOOD
73,11011049.0,Dendermonde,9200,HOUSE,HOUSE,324900.0,,2.0,128.0,1.0,0.0,1.0,45.0,147.0,317.0,2.0,False,GOOD
74,11011043.0,Ghlin,7011,HOUSE,HOUSE,90000.0,,3.0,110.0,1.0,0.0,1.0,10.0,490.0,560.0,3.0,False,TO_RENOVATE
75,11011041.0,Ninove,9400,HOUSE,HOUSE,260000.0,,3.0,100.0,1.0,0.0,1.0,0.0,0.0,81.0,2.0,False,AS_NEW
