iter	RMSE
0	128550.7043
1	117248.6664
2	109038.3735
3	102952.445
4	98143.7656
5	94133.2041
6	91101.76086
7	88565.35681
8	86510.22193
9	84795.06776
10	83511.98953
11	82591.57777
12	81808.70734
13	80834.01148
14	79994.78562
15	79335.16378
16	78914.01217
17	77987.02838
18	77490.8912
19	76857.76331
20	76493.84974
21	76127.50036
22	75614.91463
23	75336.87441
24	75070.37143
25	74702.6588
26	74396.14838
27	74127.92856
28	73989.84247
29	73822.59936
30	73548.37368
31	73396.69894
32	73122.52261
33	72835.36608
34	72630.46895
35	72371.34037
36	72150.06103
37	72060.66407
38	71898.46735
39	71768.49859
40	71501.11274
41	71415.16044
42	71342.71017
43	71183.81045
44	70984.47441
45	70799.30427
46	70657.66643
47	70553.14449
48	70523.26096
49	70449.07288
50	70288.65725
51	70031.31178
52	69899.71092
53	69783.76691
54	69749.09595
55	69561.29193
56	69229.38653
57	68929.42514
58	68798.8774
59	68717.32295
60	68560.81449
61	68395.40942
62	68324.18219
63	68300.22841
64	68095.77389
65	67989.16758
66	67961.32786
67	67681.23738
68	67567.99973
69	67404.49345
70	67309.02181
71	67288.21839
72	67160.28892
73	67150.48843
74	67010.05793
75	66905.37543
76	66784.57987
77	66642.76092
78	66602.34357
79	66524.02374
80	66376.20267
81	66343.58776
82	66270.72719
83	66211.43955
84	66027.23517
85	65979.53102
86	65809.16919
87	65719.99648
88	65462.40293
89	65401.01334
90	65394.41803
91	65034.13192
92	64882.60654
93	64663.5895
94	64519.60795
95	64476.33954
96	64362.38913
97	64300.01761
98	64214.62921
99	64070.06569
100	64032.63843
101	64022.51839
102	63874.16474
103	63793.0811
104	63749.18669
105	63723.96405
106	63585.09414
107	63578.42802
108	63493.33143
109	63381.95439
110	63306.23431
111	63252.04175
112	63137.18273
113	63057.21207
114	63042.91918
115	63014.07052
116	62939.1307
117	62929.84331
118	62923.2254
119	62822.9569
120	62786.56645
121	62668.50802
122	62588.28893
123	62565.58067
124	62487.38298
125	62475.03986
126	62402.35889
127	62308.28249
128	62065.05594
129	61999.16277
130	61909.2634
131	61765.80364
132	61697.24054
133	61695.45541
134	61692.93591
135	61600.61796
136	61501.32942
137	61439.92297
138	61333.26717
139	61332.2078
140	61287.51063
141	61283.29881
142	61235.86755
143	61190.95225
144	61127.80475
145	61108.12339
146	61028.22594
147	60851.52435
148	60830.203
149	60792.84811
150	60723.66866
151	60703.64285
152	60655.37903
153	60553.12762
154	60518.2239
155	60468.64031
156	60433.01139
157	60380.20578
158	60322.77524
159	60290.57407
160	60176.59433
161	60150.5341
162	60146.08445
163	60118.38703
164	60059.0762
165	60044.15921
166	60000.59065
167	59975.29827
168	59898.94298
169	59872.36093
170	59868.86674
171	59802.04819
172	59783.24813
173	59777.70476
174	59747.85883
175	59684.07626
176	59648.03657
177	59512.63368
178	59502.07211
179	59444.17559
180	59376.29324
181	59365.66854
182	59314.3751
183	59198.8565
184	59167.65036
185	59148.78933
186	59105.10797
187	59035.91629
188	59027.54704
189	59001.52924
190	58988.56552
191	58975.88634
192	58965.07953
193	58935.31953
194	58922.0959
195	58843.99205
196	58836.97615
197	58733.23712
198	58661.15092
199	58572.64105
200	58550.93355
201	58549.10006
202	58470.61992
203	58374.26254
204	58324.29194
205	58295.09564
206	58263.28054
207	58217.64773
208	58160.78945
209	58153.63807
210	58136.5541
211	58119.85897
212	58084.33239
213	58073.50001
214	58067.95462
215	57951.70548
216	57935.04863
217	57868.45433
218	57752.42302
219	57684.62769
220	57637.48531
221	57634.94206
222	57552.45942
223	57550.09248
224	57517.56016
225	57516.52131
226	57508.00926
227	57324.20339
228	57310.34644
229	57231.10223
230	57229.99312
231	57228.44308
232	57182.53339
233	57148.53391
234	57137.91563
235	57096.14741
236	57095.60568
237	56997.01267
238	56979.07588
239	56913.57515
240	56836.44937
241	56785.68328
242	56782.67414
243	56782.15239
244	56767.16468
245	56759.5712
246	56752.8103
247	56678.52419
248	56639.119
249	56619.72761
250	56616.88648
251	56598.53615
252	56596.77836
253	56590.79005
254	56583.58365
255	56581.39943
256	56580.76399
257	56576.19665
