iter	Passed	Remaining
0	4	9216
1	9	9462
2	14	9382
3	18	9397
4	23	9199
5	28	9409
6	32	9327
7	36	9157
8	41	9156
9	45	9140
10	51	9251
11	55	9212
12	60	9253
13	64	9208
14	69	9131
15	73	9159
16	79	9274
17	83	9225
18	88	9209
19	92	9201
20	97	9165
21	101	9133
22	105	9081
23	110	9103
24	114	9084
25	119	9041
26	123	9031
27	127	9013
28	133	9052
29	137	9013
30	142	9021
31	146	8988
32	150	8959
33	154	8948
34	159	8952
35	164	8948
36	168	8958
37	173	8946
38	179	9027
39	184	9028
40	188	9027
41	193	9042
42	198	9033
43	202	9021
44	207	9003
45	212	9036
46	216	9012
47	221	9009
48	226	9009
49	230	8996
50	235	8995
51	239	8957
52	244	8965
53	248	8952
54	253	8957
55	257	8952
56	262	8934
57	266	8921
58	271	8918
59	275	8923
60	281	8932
61	285	8912
62	289	8910
63	294	8906
64	299	8909
65	303	8892
66	308	8901
67	312	8888
68	317	8872
69	322	8882
70	330	8967
71	339	9089
72	347	9174
73	352	9170
74	357	9176
75	361	9161
76	366	9150
77	371	9148
78	376	9151
79	380	9131
80	385	9128
81	390	9138
82	396	9149
83	400	9131
84	405	9130
85	409	9117
86	414	9110
87	418	9098
88	423	9093
89	428	9101
90	432	9081
91	437	9071
92	442	9070
93	446	9059
94	451	9052
95	455	9042
96	460	9033
97	464	9017
98	468	8999
99	473	8990
100	477	8977
101	481	8962
102	486	8959
103	491	8952
104	495	8936
105	499	8922
106	504	8920
107	508	8907
108	513	8911
109	517	8898
110	522	8889
111	527	8889
112	531	8881
113	536	8881
114	541	8872
115	545	8865
116	551	8868
117	556	8870
118	560	8863
119	564	8849
120	569	8844
121	573	8829
122	577	8817
123	582	8807
124	587	8807
125	592	8811
126	597	8804
127	601	8798
128	606	8792
129	610	8778
130	614	8772
131	620	8778
132	624	8771
133	629	8766
134	634	8762
135	639	8762
136	644	8765
137	649	8763
138	654	8763
139	659	8758
140	663	8749
141	668	8746
142	673	8742
143	674	8692
144	679	8688
145	683	8679
146	688	8682
147	693	8676
148	698	8674
149	703	8676
150	708	8673
151	712	8663
152	717	8661
153	722	8656
154	726	8649
155	731	8645
156	736	8642
157	740	8636
158	745	8627
159	750	8629
160	754	8621
161	759	8619
162	764	8610
163	768	8605
164	773	8599
165	777	8594
166	782	8586
167	787	8587
168	792	8583
169	796	8575
170	802	8580
171	807	8579
172	811	8570
173	815	8561
174	819	8550
175	823	8537
176	828	8532
177	833	8527
178	837	8520
179	841	8511
180	846	8502
181	851	8504
182	855	8496
183	859	8486
184	863	8471
185	868	8471
186	872	8463
187	877	8457
188	882	8457
189	887	8455
190	891	8441
191	895	8429
192	900	8428
193	904	8421
194	908	8412
195	914	8412
196	918	8405
197	923	8406
198	928	8399
199	932	8395
200	937	8389
201	941	8381
202	946	8376
203	951	8376
204	956	8371
205	960	8366
206	965	8364
207	970	8362
208	974	8354
209	980	8357
210	984	8349
211	988	8340
212	994	8341
213	998	8335
214	1003	8327
215	1007	8320
216	1011	8311
217	1016	8306
218	1020	8298
219	1024	8290
220	1029	8284
221	1033	8275
222	1037	8269
223	1042	8262
224	1046	8257
225	1052	8257
226	1056	8251
227	1061	8248
228	1065	8241
229	1070	8237
230	1074	8228
231	1079	8223
232	1082	8212
233	1087	8204
234	1091	8196
235	1096	8192
236	1100	8187
237	1105	8185
238	1110	8183
239	1114	8175
240	1118	8166
241	1123	8160
242	1128	8162
243	1133	8160
244	1140	8167
245	1145	8169
246	1150	8165
247	1155	8164
248	1160	8161
249	1165	8157
250	1169	8149
251	1174	8146
252	1179	8143
253	1184	8140
254	1189	8138
255	1193	8130
256	1197	8123
257	1203	8122
258	1207	8118
259	1212	8115
260	1217	8108
261	1221	8100
262	1225	8096
263	1231	8095
264	1235	8091
265	1240	8084
266	1245	8084
267	1250	8080
268	1255	8078
269	1260	8075
270	1265	8075
271	1269	8067
272	1274	8062
273	1278	8056
274	1282	8047
275	1287	8041
276	1291	8031
277	1295	8025
278	1299	8015
279	1304	8010
280	1308	8003
281	1312	7998
282	1317	7992
283	1321	7987
284	1326	7982
285	1330	7973
286	1334	7966
287	1339	7960
288	1343	7955
289	1348	7952
290	1353	7948
291	1358	7945
292	1362	7938
293	1367	7936
294	1372	7931
295	1377	7928
296	1381	7921
297	1386	7916
298	1391	7913
299	1395	7907
300	1399	7900
301	1404	7894
302	1409	7893
303	1413	7887
304	1418	7881
305	1422	7875
306	1427	7873
307	1432	7868
308	1436	7863
309	1441	7860
310	1446	7855
311	1450	7848
312	1455	7845
313	1460	7840
314	1464	7832
315	1468	7825
316	1473	7822
317	1478	7821
318	1483	7817
319	1488	7812
320	1493	7811
321	1498	7806
322	1502	7799
323	1507	7798
324	1511	7791
325	1516	7789
326	1521	7783
327	1526	7779
328	1530	7774
329	1534	7767
330	1540	7765
331	1544	7758
332	1548	7751
333	1552	7744
334	1558	7743
335	1561	7735
336	1567	7733
337	1572	7732
338	1577	7727
339	1581	7720
340	1585	7714
341	1590	7712
342	1595	7705
343	1599	7698
344	1603	7690
345	1607	7686
346	1612	7683
347	1617	7676
348	1622	7673
349	1626	7665
350	1630	7662
351	1635	7657
352	1640	7653
353	1645	7650
354	1649	7645
355	1655	7643
356	1660	7641
357	1665	7637
358	1669	7632
359	1674	7627
360	1679	7624
361	1683	7617
362	1688	7616
363	1698	7634
364	1709	7655
365	1716	7664
366	1721	7658
367	1725	7653
368	1730	7648
369	1735	7645
370	1740	7641
371	1744	7635
372	1748	7626
373	1752	7620
374	1758	7618
375	1762	7611
376	1767	7607
377	1772	7604
378	1777	7600
379	1781	7595
380	1786	7590
381	1790	7584
382	1795	7578
383	1799	7572
384	1804	7567
385	1809	7564
386	1813	7559
387	1818	7553
388	1822	7549
389	1827	7544
390	1831	7538
391	1836	7534
392	1841	7528
393	1845	7523
394	1850	7517
395	1855	7514
396	1860	7513
397	1865	7508
398	1870	7505
399	1874	7497
400	1878	7492
401	1883	7485
402	1887	7480
403	1891	7473
404	1896	7467
405	1900	7460
406	1905	7456
407	1909	7450
408	1913	7445
409	1919	7442
410	1923	7435
411	1927	7431
412	1932	7427
413	1937	7421
414	1941	7416
415	1946	7410
416	1950	7405
417	1955	7400
418	1960	7396
419	1964	7389
420	1968	7384
421	1973	7378
422	1977	7371
423	1982	7367
424	1987	7364
425	1992	7361
426	1997	7357
427	2002	7356
428	2007	7351
429	2011	7344
430	2016	7341
431	2021	7336
432	2025	7331
433	2030	7326
434	2035	7322
435	2039	7316
436	2043	7310
437	2048	7305
438	2053	7301
439	2058	7296
440	2061	7289
441	2066	7283
442	2071	7279
443	2075	7274
444	2080	7269
445	2085	7268
446	2090	7262
447	2094	7257
448	2100	7254
449	2104	7250
450	2109	7243
451	2113	7237
452	2117	7231
453	2122	7227
454	2126	7221
455	2131	7217
456	2135	7211
457	2140	7206
458	2144	7200
459	2149	7195
460	2153	7190
461	2158	7185
462	2162	7179
463	2167	7174
464	2171	7167
465	2175	7161
466	2180	7159
467	2185	7154
468	2190	7151
469	2195	7146
470	2199	7141
471	2204	7135
472	2208	7130
473	2213	7126
474	2218	7121
475	2222	7114
476	2226	7109
477	2231	7104
478	2235	7099
479	2241	7096
480	2245	7090
481	2249	7084
482	2253	7077
483	2257	7071
484	2262	7067
485	2267	7064
486	2271	7056
487	2275	7050
488	2280	7046
489	2285	7042
490	2289	7036
491	2293	7029
492	2299	7027
493	2303	7021
494	2307	7015
495	2312	7011
496	2317	7007
497	2321	7001
498	2325	6996
499	2330	6991
500	2335	6987
501	2339	6980
502	2344	6977
503	2348	6971
504	2352	6965
505	2357	6959
506	2362	6957
507	2367	6952
508	2371	6946
509	2375	6940
510	2380	6936
511	2385	6933
512	2389	6927
513	2395	6925
514	2400	6921
515	2405	6916
516	2409	6912
517	2414	6907
518	2418	6902
519	2422	6896
520	2427	6890
521	2431	6883
522	2435	6878
523	2439	6871
524	2444	6867
525	2448	6862
526	2453	6857
527	2457	6852
528	2462	6848
529	2467	6842
530	2471	6838
531	2476	6833
532	2480	6828
533	2485	6824
534	2490	6819
535	2495	6815
536	2499	6810
537	2504	6805
538	2508	6799
539	2513	6794
