property_id,postal_code,type_of_property,subtype_of_property,price,bedrooms,living_area,openfire,terrace,garden,rooms,bathrooms,region,province,state_of_property,facade_count,heating,kitchen,furnished,swimmingpool
11203785,7600,APARTMENT,APARTMENT,198000,2,85,False,11,False,,1,Wallonie,Hainaut,AS_NEW,2,GAS,HYPER_EQUIPPED,False,False
11206979,3870,HOUSE,HOUSE,389000,3,275,False,,False,,1,Flandres,Limbourg,JUST_RENOVATED,3,GAS,INSTALLED,,
11206826,1457,HOUSE,HOUSE,468000,3,185,False,,False,,1,Wallonie,Brabant Wallon,,4,GAS,USA_UNINSTALLED,,False
11206882,2360,APARTMENT,GROUND_FLOOR,285000,1,80,False,,False,1,1,Flandres,Anvers,GOOD,,,,,
11206687,8800,HOUSE,HOUSE,399000,4,,False,,False,1,1,Flandres,Flandre Occidentale,GOOD,4,,,,
11206827,4020,HOUSE,HOUSE,369000,3,143,False,33,False,,1,Wallonie,Liège,GOOD,3,PELLET,INSTALLED,False,False
11206688,8490,HOUSE,HOUSE,364000,4,164,False,,False,1,1,Flandres,Flandre Occidentale,GOOD,4,,,,
11206397,7520,HOUSE,HOUSE,210000,2,88,False,,False,,1,Wallonie,Hainaut,AS_NEW,3,PELLET,INSTALLED,,
11199547,1200,APARTMENT,APARTMENT,360000,2,110,False,2,False,5,1,Bruxelles,Bruxelles,AS_NEW,2,GAS,USA_HYPER_EQUIPPED,,False
11206154,9000,APARTMENT,APARTMENT,730000,2,101,False,11,False,,1,Flandres,Flandre Orientale,AS_NEW,2,,USA_HYPER_EQUIPPED,False,False
11206402,1502,HOUSE,HOUSE,299000,3,151,False,,False,1,1,Flandres,Brabant Flamand,,3,ELECTRIC,,,
11206244,2800,HOUSE,MANSION,339000,5,257,False,,False,,1,Flandres,Anvers,TO_RENOVATE,2,GAS,,False,
11206245,2800,HOUSE,MANSION,349000,4,263,False,,False,,3,Flandres,Anvers,TO_RENOVATE,2,GAS,,False,
11206199,1000,APARTMENT,APARTMENT,447500,2,88,False,20,False,,2,Bruxelles,Bruxelles,AS_NEW,2,,USA_HYPER_EQUIPPED,False,
11206202,9200,APARTMENT,DUPLEX,385000,5,210,False,,False,,1,Flandres,Flandre Orientale,,,GAS,USA_HYPER_EQUIPPED,False,
11192310,9890,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,False,,,Flandres,Flandre Orientale,,,,,,
11206246,2800,HOUSE,MANSION,339000,4,207,False,,False,,1,Flandres,Anvers,TO_RENOVATE,2,GAS,,False,
